Time,Lat,Lon,Alt,McIlwainL,MLT,kp,sig0,sig1,sig2,sig3,sig4,sig5
2015-08-28 15:41:05.005000,57.03184365230357,-90.01200544968015,577.4220137481041,7.29681044133855,9.197887686097133,53.0,10.733435707494136,1.551643312057445,-0.2645802987408845,-0.08151558631415895,-0.09877495071406697,-0.09877495071406697
2015-08-28 15:41:36.831250,55.131774628188644,-91.14811316601117,580.6117460605741,6.29424155387883,9.143887814557502,53.0,10.071307150629814,3.2695418966933976,0.27809331931788184,-0.5973781168090768,-0.27910136890382536,-0.13244807213962692
2015-08-28 15:41:36.868750,55.12908376402654,-91.14965051652689,580.6162225609196,6.292936054652393,9.143804355332577,53.0,10.349838223879349,5.374118864068339,1.4877615836284146,0.9304596828831935,-0.27910136890382536,-0.13244807213962692
2015-08-28 15:41:44.050000,54.70018917667434,-91.39226606700686,581.3282544781372,6.089486521210672,9.133002079645252,53.0,10.654110848269662,7.007324836548801,1.272393269920828,0.1777328941361465,0.346777455032671,-0.21980291603667948
2015-08-28 15:41:47.368750,54.500889813219395,-91.50339748441183,581.6581257541179,5.996081688721772,9.127899102226479,53.0,18.447025345735607,19.015532681423505,11.115512084106909,1.0892384282745748,0.020155574386234585,-0.38882552989062674
2015-08-28 15:41:47.650000,54.48472787705829,-91.51236569565663,581.6848485351259,5.988869861502109,9.127418326812638,53.0,15.505688992867059,13.191918616205975,8.08723068587277,0.9096623491649977,-0.7367783287359893,-0.4210142725561733
2015-08-28 15:41:47.706250,54.481135741958965,-91.51435807326925,581.6907873476736,5.987268845061361,9.12731153802828,53.0,11.052357234456423,11.691299921938764,4.952405197501383,0.47992642869678553,-0.05238726358510071,-0.4336387869216284
2015-08-28 15:41:48.362500,54.44162627178479,-91.53625073420699,581.7560940887558,5.969673545889629,9.126427637183824,53.0,12.770238084360034,11.022635110817177,9.292034421433321,2.0940761043068172,0.6578377935142762,0.3815571220796918
2015-08-28 15:41:48.437500,54.4371360819165,-91.53873633759213,581.7635145254684,5.967682074911057,9.126294523334238,53.0,12.103904903308987,8.006893025174719,2.5629896948357827,0.41494937913642493,0.6497708206827236,-0.4273439767292548
2015-08-28 15:41:49.262500,54.3877448182842,-91.56604442861862,581.8451167787728,5.9458075802809205,9.125121852109132,53.0,11.985598664547215,11.077059209653257,8.077395225679478,-0.4997224534895771,-0.7513612110211255,0.4082482904638631
2015-08-28 15:41:50.275000,54.327572304683656,-91.59923171298578,581.944478891307,5.9192946241655156,9.123636341547638,53.0,24.42120225212708,28.302411332179386,22.085874011949837,4.671663406782184,0.5789247986934094,-0.33532466552664425
